Command,End Command,Context role,Placeholder,starts new paragraph?,ends paragraph?,Outline Level,Role,Role of Child elements,Number of Groups,Groups to parse,Parse Options?
"\""{A}",,,Ä,,,,,,,,
"\""{a}",,,ä,,,,,,,,
"\""{E}",,,Ë,,,,,,,,
"\""{e}",,,ë,,,,,,,,
"\""{I}",,,Ï,,,,,,,,
"\""{\i}",,,ï,,,,,,,,
"\""{i}",,,ï,,,,,,,,
"\""{O}",,,Ö,,,,,,,,
"\""{o}",,,ö,,,,,,,,
"\""{U}",,,Ü,,,,,,,,
"\""{u}",,,ü,,,,,,,,
"\""{Y}",,,Ÿ,,,,,,,,
"\""{y}",,,ÿ,,,,,,,,
,,,,,,,,,,,
\acute,,,,,,,,,1,,
\acute{A},,,Á,,,,,,,,
\acute{B},,,B́,,,,,,,,
\acute{C},,,Ć,,,,,,,,
\acute{D},,,D́,,,,,,,,
\acute{E},,,É,,,,,,,,
\acute{F},,,F́,,,,,,,,
\acute{G},,,Ǵ,,,,,,,,
\acute{H},,,H́,,,,,,,,
\acute{I},,,Í,,,,,,,,
\acute{J},,,J́,,,,,,,,
\acute{K},,,Ḱ,,,,,,,,
\acute{L},,,Ĺ,,,,,,,,
\acute{M},,,Ḿ,,,,,,,,
\acute{N},,,Ń,,,,,,,,
\acute{O},,,Ó,,,,,,,,
\acute{P},,,Ṕ,,,,,,,,
\acute{Q},,,Q́,,,,,,,,
\acute{R},,,Ŕ,,,,,,,,
\acute{S},,,Ś,,,,,,,,
\acute{T},,,T́,,,,,,,,
\acute{U},,,Ú,,,,,,,,
\acute{V},,,V́,,,,,,,,
\acute{W},,,Ẃ,,,,,,,,
\acute{X},,,X́,,,,,,,,
\acute{Y},,,Ý,,,,,,,,
\acute{Z},,,Ź,,,,,,,,
,,,,,,,,,,,
\acute{a},,,á,,,,,,,,
\acute{b},,,b́,,,,,,,,
\acute{c},,,ć,,,,,,,,
\acute{d},,,d́,,,,,,,,
\acute{e},,,é,,,,,,,,
\acute{f},,,,,,,,,,,
\acute{g},,,ǵ,,,,,,,,
\acute{h},,,h́,,,,,,,,
\acute{i},,,í,,,,,,,,
\acute{j},,,j́,,,,,,,,
\acute{k},,,ḱ,,,,,,,,
\acute{l},,,ĺ,,,,,,,,
\acute{m},,,ḿ,,,,,,,,
\acute{n},,,ń,,,,,,,,
\acute{o},,,ó,,,,,,,,
\acute{p},,,ṕ,,,,,,,,
\acute{q},,,q́,,,,,,,,
\acute{r},,,ŕ,,,,,,,,
\acute{s},,,ś,,,,,,,,
\acute{t},,,t́,,,,,,,,
\acute{u},,,ú,,,,,,,,
\acute{v},,,v́,,,,,,,,
\acute{w},,,ẃ,,,,,,,,
\acute{x},,,x́,,,,,,,,
\acute{y},,,ý,,,,,,,,
\acute{z},,,ź,,,,,,,,
,,,,,,,,,,,
\'{A},,,Á,,,,,,,,
\'{a},,,á,,,,,,,,
\'{E},,,É,,,,,,,,
\'{e},,,é,,,,,,,,
\'{I},,,Í,,,,,,,,
\'{\i},,,í,,,,,,,,
\'{O},,,Ó,,,,,,,,
\'{o},,,ó,,,,,,,,
\'{U},,,Ú,,,,,,,,
\'{u},,,ú,,,,,,,,
\'{Y},,,Ý,,,,,,,,
\'{y},,,ý,,,,,,,,
,,,,,,,,,,,
\grave,,,,,,,,,1,,
\grave{A},,,À,,,,,,,,
\grave{B},,,B̀,,,,,,,,
\grave{C},,,C̀,,,,,,,,
\grave{D},,,D̀,,,,,,,,
\grave{E},,,È,,,,,,,,
\grave{F},,,F̀,,,,,,,,
\grave{G},,,G̀,,,,,,,,
\grave{H},,,H̀,,,,,,,,
\grave{I},,,Ì,,,,,,,,
\grave{J},,,,,,,,,,,
\grave{K},,,K̀,,,,,,,,
\grave{L},,,L̀,,,,,,,,
\grave{M},,,M̀,,,,,,,,
\grave{N},,,Ǹ,,,,,,,,
\grave{O},,,Ò,,,,,,,,
\grave{P},,,P̀,,,,,,,,
\grave{Q},,,Q̀,,,,,,,,
\grave{R},,,R̀,,,,,,,,
\grave{S},,,S̀,,,,,,,,
\grave{T},,,T̀,,,,,,,,
\grave{U},,,Ù,,,,,,,,
\grave{V},,,Ẁ,,,,,,,,
\grave{W},,,Ẃ,,,,,,,,
\grave{X},,,X̀,,,,,,,,
\grave{Y},,,Ỳ,,,,,,,,
\grave{Z},,,Z̀,,,,,,,,
,,,,,,,,,,,
\grave{a},,,à,,,,,,,,
\grave{b},,,b,,,,,,,,
\grave{c},,,c,,,,,,,,
\grave{d},,,,,,,,,,,
\grave{e},,,è,,,,,,,,
\grave{f},,,,,,,,,,,
\grave{g},,,,,,,,,,,
\grave{h},,,h̀,,,,,,,,
\grave{i},,,ì,,,,,,,,
\grave{j},,,j́,,,,,,,,
\grave{k},,,k̀,,,,,,,,
\grave{l},,,,,,,,,,,
\grave{m},,,m̀,,,,,,,,
\grave{n},,,ǹ,,,,,,,,
\grave{o},,,ò,,,,,,,,
\grave{p},,,,,,,,,,,
\grave{q},,,,,,,,,,,
\grave{r},,,r̀,,,,,,,,
\grave{s},,,s̀,,,,,,,,
\grave{t},,,t̀,,,,,,,,
\grave{u},,,ù,,,,,,,,
\grave{v},,,v̀,,,,,,,,
\grave{w},,,ẁ,,,,,,,,
\grave{x},,,x̀,,,,,,,,
\grave{y},,,ỳ,,,,,,,,
